en,zh,note
neural network,神经网络,
deep learning,深度学习,
machine learning,机器学习,
artificial intelligence,人工智能,
convolutional neural network,卷积神经网络,常缩写为 CNN
recurrent neural network,循环神经网络,常缩写为 RNN
long short-term memory,长短期记忆网络,LSTM
gated recurrent unit,门控循环单元,GRU
transformer,Transformer,一般保留英文
attention mechanism,注意力机制,
self-attention,自注意力,
multi-head attention,多头注意力,
feed-forward network,前馈网络,
gradient descent,梯度下降,
stochastic gradient descent,随机梯度下降,SGD
backpropagation,反向传播,
forward propagation,前向传播,
loss function,损失函数,
objective function,目标函数,
cost function,代价函数,
activation function,激活函数,
rectified linear unit,修正线性单元,ReLU
sigmoid function,Sigmoid 函数,
softmax,Softmax,一般保留英文
batch normalization,批归一化,
layer normalization,层归一化,
dropout,Dropout,一般保留英文
regularization,正则化,
overfitting,过拟合,
underfitting,欠拟合,
generalization,泛化,
hyperparameter,超参数,
learning rate,学习率,
weight decay,权重衰减,
momentum,动量,
epoch,轮次,训练轮数
mini-batch,小批量,
embedding,嵌入,
word embedding,词嵌入,
token,词元,常保留 token
tokenization,分词,
vocabulary,词表,
fine-tuning,微调,
pre-training,预训练,
transfer learning,迁移学习,
zero-shot learning,零样本学习,
few-shot learning,小样本学习,
one-shot learning,单样本学习,
reinforcement learning,强化学习,
supervised learning,监督学习,
unsupervised learning,无监督学习,
self-supervised learning,自监督学习,
semi-supervised learning,半监督学习,
policy gradient,策略梯度,
reward function,奖励函数,
value function,价值函数,
Q-learning,Q 学习,
Markov decision process,马尔可夫决策过程,MDP
generative adversarial network,生成对抗网络,GAN
variational autoencoder,变分自编码器,VAE
autoencoder,自编码器,
diffusion model,扩散模型,
large language model,大语言模型,LLM
language model,语言模型,
natural language processing,自然语言处理,NLP
computer vision,计算机视觉,
image classification,图像分类,
object detection,目标检测,
semantic segmentation,语义分割,
instance segmentation,实例分割,
feature extraction,特征提取,
feature map,特征图,
receptive field,感受野,
pooling,池化,
max pooling,最大池化,
convolution,卷积,
kernel,卷积核,视上下文也可译为内核
stride,步幅,
padding,填充,
encoder,编码器,
decoder,解码器,
sequence-to-sequence,序列到序列,seq2seq
beam search,束搜索,
greedy search,贪心搜索,
perplexity,困惑度,
benchmark,基准,
baseline,基线,
state of the art,当前最优,SOTA
ablation study,消融实验,
data augmentation,数据增强,
training set,训练集,
validation set,验证集,
test set,测试集,
ground truth,真实标签,
label,标签,
annotation,标注,
inference,推理,
latency,延迟,
throughput,吞吐量,
gradient vanishing,梯度消失,
gradient explosion,梯度爆炸,
optimizer,优化器,
convergence,收敛,
precision,精确率,分类指标语境
recall,召回率,
F1 score,F1 分数,
confusion matrix,混淆矩阵,
cross-entropy,交叉熵,
mean squared error,均方误差,MSE
cosine similarity,余弦相似度,
dot product,点积,
matrix multiplication,矩阵乘法,
tensor,张量,
scalar,标量,
vector,向量,
matrix,矩阵,
dimensionality reduction,降维,
principal component analysis,主成分分析,PCA
clustering,聚类,
classification,分类,
regression,回归,
decision tree,决策树,
random forest,随机森林,
support vector machine,支持向量机,SVM
k-nearest neighbors,K 近邻,KNN
naive Bayes,朴素贝叶斯,
ensemble learning,集成学习,
boosting,提升,
bagging,装袋,
algorithm,算法,
complexity,复杂度,
time complexity,时间复杂度,
space complexity,空间复杂度,
data structure,数据结构,
hash table,哈希表,
binary tree,二叉树,
graph,图,数据结构语境
linked list,链表,
stack,栈,
queue,队列,
heap,堆,
recursion,递归,
dynamic programming,动态规划,
greedy algorithm,贪心算法,
sorting,排序,
searching,搜索,
operating system,操作系统,
process,进程,
thread,线程,
concurrency,并发,
parallelism,并行,
deadlock,死锁,
mutex,互斥锁,
semaphore,信号量,
scheduling,调度,
virtual memory,虚拟内存,
cache,缓存,
compiler,编译器,
interpreter,解释器,
database,数据库,
query,查询,
index,索引,
transaction,事务,
distributed system,分布式系统,
load balancing,负载均衡,
fault tolerance,容错,
scalability,可扩展性,
throughput,吞吐量,
bandwidth,带宽,
protocol,协议,
encryption,加密,
decryption,解密,
authentication,身份认证,
authorization,授权,
vulnerability,漏洞,
cryptography,密码学,
hash function,哈希函数,
public key,公钥,
private key,私钥,
API,API,应用程序接口
framework,框架,
library,库,
repository,仓库,
version control,版本控制,
